기준연도,학교종류,설립구분,지역,상태,대학원명,입학정원(A),지원자,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,입학자,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,"정원내
신입생충원율(%)
(B/A)x100"
,,,,,,,계,정원내,,정원외,,계,정원내(B),,정원외,,
,,,,,,,,남,여,남,여,,남,여,남,여,
2023.0,일반대학원,사립,서울,기존,상명대학교 대학원 ,233.0,331,131,170,15,15,245,105,125,10,5,98.7
2023.0,일반대학원,사립,충남,기존,상명대학교 대학원 _제2캠퍼스,70.0,68,30,32,5,1,51,27,21,3,0,68.6
2023.0,특수대학원,사립,서울,기존,상명대학교 문화기술대학원 ,90.0,65,27,38,0,0,58,26,32,0,0,64.4
2023.0,특수대학원,사립,서울,기존,상명대학교 통합심리치료대학원 ,45.0,68,8,59,1,0,40,5,34,1,0,86.7
2023.0,특수대학원,사립,강원,기존,상지대학교 교육대학원 ,10.0,68,17,51,0,0,18,5,13,0,0,180.0
2023.0,일반대학원,사립,강원,기존,상지대학교 대학원 ,82.0,67,37,30,0,0,47,25,22,0,0,57.3
2023.0,특수대학원,사립,강원,기존,상지대학교 사회복지정책대학원 ,30.0,9,1,8,0,0,7,1,6,0,0,23.3
2023.0,특수대학원,사립,강원,기존,상지대학교 사회융합대학원 ,51.0,34,15,13,5,1,30,13,11,5,1,47.1
2023.0,특수대학원,사립,강원,기존,상지대학교 평화안보.상담심리대학원 ,55.0,74,30,33,9,2,67,29,27,9,2,101.8
2023.0,전문대학원,사립,서울,기존,서강대학교 경영전문대학원 ,204.0,758,231,101,221,205,414,108,53,128,125,78.9
2023.0,특수대학원,사립,서울,기존,서강대학교 경제대학원 ,125.0,260,144,114,2,0,132,73,59,0,0,105.6
2023.0,특수대학원,사립,서울,기존,서강대학교 공공정책대학원 ,94.0,104,51,48,4,1,47,23,22,2,0,47.9
2023.0,특수대학원,사립,서울,기존,서강대학교 교육대학원 ,140.0,732,152,580,0,0,120,34,86,0,0,85.7
2023.0,전문대학원,사립,서울,기존,서강대학교 국제대학원 ,55.0,133,3,4,36,90,66,2,1,13,50,5.5
2023.0,전문대학원,사립,서울,기존,서강대학교 기술경영전문대학원 ,50.0,100,65,29,5,1,52,35,12,4,1,94.0
2023.0,일반대학원,사립,서울,기존,서강대학교 대학원 ,798.0,1506,673,660,71,102,629,328,238,20,43,70.9
2023.0,전문대학원,사립,서울,기존,서강대학교 메타버스전문대학원 ,60.0,185,114,71,0,0,65,45,20,0,0,108.3
2023.0,특수대학원,사립,서울,기존,서강대학교 미디어커뮤니케이션대학원 ,100.0,154,57,97,0,0,67,24,43,0,0,67.0
2023.0,전문대학원,사립,서울,기존,서강대학교 법학전문대학원 ,40.0,315,194,121,0,0,44,29,15,0,0,110.0
2023.0,전문대학원,사립,서울,기존,서강대학교 신학대학원 ,48.0,54,15,39,0,0,45,14,31,0,0,93.8
2023.0,특수대학원,사립,서울,폐교,서강대학교 정보통신대학원 ,140.0,395,261,134,0,0,123,83,40,0,0,87.9
2023.0,특수대학원,사립,서울,기존,서경대학교 경영문화대학원 ,45.0,50,19,31,0,0,41,17,24,0,0,91.1
2023.0,특수대학원,사립,서울,기존,서경대학교 미용예술대학원 ,40.0,46,8,38,0,0,34,7,27,0,0,85.0
2023.0,특수대학원,사립,서울,기존,서경대학교 실용음악대학원 ,10.0,23,11,12,0,0,7,3,4,0,0,70.0
2023.0,일반대학원,사립,서울,기존,서경대학교 일반대학원 ,103.0,227,52,88,7,80,168,40,57,6,65,94.2
2023.0,전문대학원,국립,서울,기존,서울과학기술대학교 IT정책전문대학원 ,47.0,96,51,41,2,2,36,18,15,0,3,70.2
2023.0,특수대학원,국립,서울,기존,서울과학기술대학교 산업대학원 ,40.0,214,170,44,0,0,50,46,4,0,0,125.0
2023.0,전문대학원,국립,서울,폐교,서울과학기술대학교 융합과학대학원 ,41.0,143,68,22,50,3,82,29,10,40,3,95.1
2023.0,일반대학원,국립,서울,기존,서울과학기술대학교 일반대학원 ,521.0,1033,500,340,102,91,521,282,124,58,57,77.9
2023.0,특수대학원,국립,서울,기존,서울과학기술대학교 주택도시대학원 ,38.0,67,51,16,0,0,38,28,10,0,0,100.0
2023.0,전문대학원,국립,서울,기존,서울과학기술대학교 철도전문대학원 ,66.0,107,59,5,32,11,85,41,2,31,11,65.2
2023.0,전문대학원,국립,서울,기존,서울교육대학교 교육전문대학원 ,510.0,635,101,438,36,60,424,72,305,17,30,73.9
2023.0,일반대학원,사립,서울,기존,서울기독대학교 대학원 ,45.0,69,17,25,16,11,41,11,19,6,5,66.7
2023.0,특수대학원,사립,서울,기존,서울기독대학교 문화산업경영대학원 ,8.0,0,0,0,0,0,0,0,0,0,0,0.0
2023.0,특수대학원,사립,서울,기존,서울기독대학교 사회복지대학원 ,18.0,6,2,4,0,0,4,1,3,0,0,22.2
2023.0,특수대학원,사립,서울,기존,서울기독대학교 연합신학대학원 ,12.0,9,3,6,0,0,7,2,5,0,0,58.3
2023.0,특수대학원,사립,서울,기존,서울기독대학교 운동재활복지대학원 ,10.0,0,0,0,0,0,0,0,0,0,0,0.0
2023.0,특수대학원,사립,서울,기존,서울기독대학교 치유상담대학원 ,14.0,8,0,8,0,0,6,0,6,0,0,42.9
2023.0,전문대학원,국립대법인,서울,기존,서울대학교 경영전문대학원 ,100.0,365,66,57,170,72,207,35,34,96,42,69.0
