기준연도,학교종류,설립구분,지역,상태,대학원명,입학정원(A),지원자,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,입학자,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,계,정원내,,정원외,,계,정원내(B),,정원외,
,,,,,,,,남,여,남,여,,남,여,남,여
2024.0,특수대학원,사립,부산,기존,부산외국어대학교 통역번역대학원 ,40.0,44,6,19,2,17,33,2,17,1,13
2024.0,특수대학원,사립,경남,기존,부산장신대학교 강해설교대학원 ,10.0,3,0,3,0,0,1,0,1,0,0
2024.0,특수대학원,사립,경남,기존,부산장신대학교 상담및심리치료대학원 ,10.0,4,1,3,0,0,2,0,2,0,0
2024.0,특수대학원,사립,경남,기존,부산장신대학교 신학대학원 ,50.0,44,20,24,0,0,37,18,19,0,0
2024.0,일반대학원,사립,경남,기존,부산장신대학교 일반대학원 ,21.0,17,8,9,0,0,16,8,8,0,0
2024.0,특수대학원,사립,경남,폐교,부산장신대학교 장애인교육선교대학원 ,10.0,6,1,5,0,0,6,1,5,0,0
2024.0,특수대학원,사립,서울,기존,사이버한국외국어대학교 TESOL 대학원 ,48.0,93,15,74,3,1,51,5,43,2,1
2024.0,특수대학원,사립,서울,기존,삼육대학교 경영대학원 ,10.0,7,5,1,0,1,5,4,1,0,0
2024.0,일반대학원,사립,서울,기존,삼육대학교 대학원 ,155.0,268,92,96,21,59,159,70,67,10,12
2024.0,특수대학원,사립,서울,기존,삼육대학교 신학대학원 ,30.0,23,20,1,2,0,19,16,1,2,0
2024.0,특수대학원,사립,서울,기존,삼육대학교 임상간호대학원 ,17.0,49,4,45,0,0,15,0,15,0,0
2024.0,특수대학원,사립,서울,기존,상명대학교 경영대학원 ,45.0,17,8,9,0,0,12,6,6,0,0
2024.0,특수대학원,사립,서울,기존,상명대학교 교육대학원 ,55.0,120,17,103,0,0,30,6,24,0,0
2024.0,일반대학원,사립,서울,기존,상명대학교 대학원 ,243.0,512,149,175,89,99,312,115,120,39,38
2024.0,일반대학원,사립,충남,기존,상명대학교 대학원 _제2캠퍼스,70.0,111,33,34,21,23,75,28,30,7,10
