읍면동,연령5세구간,인구수
직산읍,30-34,1199
직산읍,35-39,1467
직산읍,40-44,1766
직산읍,45-49,1887
직산읍,50-54,1870
직산읍,55-59,1670
직산읍,60-64,1509
직산읍,65-69,968
직산읍,70-74,635
직산읍,75-79,517
직산읍,80-84,427
직산읍,85+,305
천안시,0-4,25734
천안시,5-9,34469
천안시,10-14,34473
천안시,15-19,33321
천안시,20-24,45070
천안시,25-29,50566
천안시,30-34,48313
천안시,35-39,54695
천안시,40-44,56091
천안시,45-49,55573
천안시,50-54,55928
천안시,55-59,46983
천안시,60-64,41926
천안시,65-69,26109
천안시,70-74,17558
천안시,75-79,12851
천안시,80-84,10001
천안시,85+,7923
천안시동남구,0-4,7864
천안시동남구,5-9,11632
천안시동남구,10-14,12968
천안시동남구,15-19,12776
천안시동남구,20-24,17444
천안시동남구,25-29,17386
천안시동남구,30-34,14653
천안시동남구,35-39,17502
천안시동남구,40-44,20358
천안시동남구,45-49,21764
천안시동남구,50-54,22744
천안시동남구,55-59,20485
천안시동남구,60-64,20015
천안시동남구,65-69,13164
천안시동남구,70-74,9004
천안시동남구,75-79,6615
천안시동남구,80-84,5275
천안시동남구,85+,4242
천안시서북구,0-4,17870
천안시서북구,5-9,22837
천안시서북구,10-14,21505
천안시서북구,15-19,20545
천안시서북구,20-24,27626
천안시서북구,25-29,33180
천안시서북구,30-34,33660
천안시서북구,35-39,37193
천안시서북구,40-44,35733
천안시서북구,45-49,33809
천안시서북구,50-54,33184
천안시서북구,55-59,26498
천안시서북구,60-64,21911
천안시서북구,65-69,12945
천안시서북구,70-74,8554
천안시서북구,75-79,6236
천안시서북구,80-84,4726
천안시서북구,85+,3681
청룡동,0-4,2398
청룡동,5-9,3390
청룡동,10-14,3602
청룡동,15-19,3367
청룡동,20-24,3536
청룡동,25-29,3384
청룡동,30-34,3460
청룡동,35-39,4564
청룡동,40-44,5135
청룡동,45-49,4971
청룡동,50-54,4653
청룡동,55-59,3801
청룡동,60-64,3349
청룡동,65-69,2154
청룡동,70-74,1276
청룡동,75-79,969
청룡동,80-84,651
청룡동,85+,572
풍세면,0-4,34
풍세면,5-9,91
풍세면,10-14,102
풍세면,15-19,122
풍세면,20-24,169
풍세면,25-29,208
풍세면,30-34,157
풍세면,35-39,159
풍세면,40-44,194
풍세면,45-49,251
풍세면,50-54,321
풍세면,55-59,418
풍세면,60-64,551
풍세면,65-69,413
풍세면,70-74,298
풍세면,75-79,233
풍세면,80-84,191
풍세면,85+,195
