읍면동,연령5세구간,인구수
쌍용2동,15-19,2120
쌍용2동,20-24,2672
쌍용2동,25-29,2583
쌍용2동,30-34,2365
쌍용2동,35-39,1850
쌍용2동,40-44,2348
쌍용2동,45-49,2721
쌍용2동,50-54,3390
쌍용2동,55-59,3259
쌍용2동,60-64,2856
쌍용2동,65-69,1886
쌍용2동,70-74,1028
쌍용2동,75-79,649
쌍용2동,80-84,437
쌍용2동,85+,429
쌍용3동,0-4,308
쌍용3동,5-9,485
쌍용3동,10-14,836
쌍용3동,15-19,1015
쌍용3동,20-24,1028
쌍용3동,25-29,1258
쌍용3동,30-34,1057
쌍용3동,35-39,847
쌍용3동,40-44,1093
쌍용3동,45-49,1308
쌍용3동,50-54,1630
쌍용3동,55-59,1684
쌍용3동,60-64,1562
쌍용3동,65-69,1159
쌍용3동,70-74,682
쌍용3동,75-79,481
쌍용3동,80-84,376
쌍용3동,85+,342
원성1동,0-4,94
원성1동,5-9,158
원성1동,10-14,196
원성1동,15-19,265
원성1동,20-24,361
원성1동,25-29,424
원성1동,30-34,391
원성1동,35-39,317
원성1동,40-44,446
원성1동,45-49,500
원성1동,50-54,649
원성1동,55-59,767
원성1동,60-64,878
원성1동,65-69,741
원성1동,70-74,560
원성1동,75-79,405
원성1동,80-84,267
원성1동,85+,230
원성2동,0-4,72
원성2동,5-9,103
원성2동,10-14,235
원성2동,15-19,327
원성2동,20-24,361
원성2동,25-29,484
원성2동,30-34,486
원성2동,35-39,329
원성2동,40-44,435
원성2동,45-49,555
원성2동,50-54,760
원성2동,55-59,897
원성2동,60-64,934
원성2동,65-69,891
원성2동,70-74,627
원성2동,75-79,466
원성2동,80-84,394
원성2동,85+,345
일봉동,0-4,461
일봉동,5-9,829
일봉동,10-14,1445
일봉동,15-19,1640
일봉동,20-24,1272
일봉동,25-29,1310
일봉동,30-34,1367
일봉동,35-39,1209
일봉동,40-44,1782
일봉동,45-49,2115
일봉동,50-54,2281
일봉동,55-59,2055
일봉동,60-64,1958
일봉동,65-69,1471
일봉동,70-74,870
일봉동,75-79,638
일봉동,80-84,447
일봉동,85+,353
입장면,0-4,48
입장면,5-9,88
입장면,10-14,161
입장면,15-19,220
입장면,20-24,250
입장면,25-29,365
입장면,30-34,294
입장면,35-39,269
입장면,40-44,334
입장면,45-49,443
입장면,50-54,639
입장면,55-59,887
입장면,60-64,932
입장면,65-69,885
입장면,70-74,626
입장면,75-79,424
입장면,80-84,360
입장면,85+,340
중앙동,0-4,56
중앙동,5-9,68
중앙동,10-14,80
중앙동,15-19,109
중앙동,20-24,165
중앙동,25-29,213
중앙동,30-34,247
중앙동,35-39,192
중앙동,40-44,233
중앙동,45-49,254
중앙동,50-54,383
중앙동,55-59,435
중앙동,60-64,541
중앙동,65-69,517
중앙동,70-74,391
중앙동,75-79,318
중앙동,80-84,228
중앙동,85+,182
직산읍,0-4,373
직산읍,5-9,537
직산읍,10-14,701
직산읍,15-19,836
직산읍,20-24,923
직산읍,25-29,1275
직산읍,30-34,1227
직산읍,35-39,1149
직산읍,40-44,1455
직산읍,45-49,1733
직산읍,50-54,1908
직산읍,55-59,1824
직산읍,60-64,1736
직산읍,65-69,1311
직산읍,70-74,839
직산읍,75-79,574
직산읍,80-84,454
직산읍,85+,432
천안시,0-4,18481
천안시,5-9,26358
천안시,10-14,34224
천안시,15-19,33689
천안시,20-24,39043
천안시,25-29,47522
천안시,30-34,50667
천안시,35-39,47181
천안시,40-44,55479
천안시,45-49,53935
천안시,50-54,57555
천안시,55-59,53274
천안시,60-64,48240
천안시,65-69,37195
천안시,70-74,22717
천안시,75-79,15575
천안시,80-84,11265
천안시,85+,10277
천안시동남구,0-4,6171
천안시동남구,5-9,8576
천안시동남구,10-14,12120
천안시동남구,15-19,13028
천안시동남구,20-24,15686
천안시동남구,25-29,16928
천안시동남구,30-34,17504
천안시동남구,35-39,15055
천안시동남구,40-44,18967
천안시동남구,45-49,20382
천안시동남구,50-54,23325
천안시동남구,55-59,22481
